company_key,segment,reason
infomotion,it_vendor,"Data & analytics consultancy (BI/DWH services); hires consultants to sell delivery, not to buy it"
zeb,it_vendor,"zeb consulting - financial-services consultancy; IT roles are billable consulting seats"
bcmsolutions,it_vendor,"IT architecture consultancy; paired senior/intermediate ladder ads across architect/cloud/devops are a consulting bench build-out"
k4s,agency,"30 ads all 'SAP <module> Inhouse Berater' across unrelated modules and regions - an SAP recruitment specialist advertising client seats; not matched on the board under its own name"
schwarzdigits,captive_it,"Captive IT of Schwarz Group (Lidl/Kaufland, STACKIT cloud) - buys external delivery capacity as routine"
finanzinformatik,captive_it,"Captive IT provider of the Sparkassen group; IT-dense but a buyer of external capacity, not a competitor"
bwi,captive_it,"Bundeswehr IT house; public-sector captive IT, buys external delivery via tender"
deutschetelekommms,it_vendor,"Telekom MMS sells digital services to external clients - vendor, not prospect"
ratbacher,agency,"128/128 live offers flagged private placement (pav) on the board"
karesources,agency,"All ads carry per-ad reference numbers and 'Raum <city>' placement phrasing across 5 regions; classic IT personnel consultancy"
hedalis,agency,"Recruitment consultancy: own ads include 'Senior Recruitment Consultant / Personalberater'; SAP ads are client mandates"
leuchtmehr,agency,"SAP placement specialist; portfolio is client-mandate SAP ads with home-office hooks"
sintecinformatik,it_vendor,"Engineering services provider; ads carry internal requisition IDs (ID: 318 etc.) for project staffing"
empiricus,agency,"33/33 live offers flagged private placement (pav) on the board"
plusyou,agency,"22/22 live offers flagged private placement (pav) on the board"
